name,team,position,gw1_opponent_team,gw2_opponent_team,gw3_opponent_team,gw4_opponent_team,gw5_opponent_team,gw6_opponent_team,gw7_opponent_team,gw8_opponent_team,gw9_opponent_team,gw10_opponent_team,gw11_opponent_team,gw12_opponent_team,gw13_opponent_team,gw14_opponent_team,gw15_opponent_team,gw16_opponent_team,gw17_opponent_team,gw18_opponent_team,gw19_opponent_team,gw20_opponent_team,gw21_opponent_team,gw22_opponent_team,gw23_opponent_team,gw24_opponent_team,gw25_opponent_team,gw26_opponent_team,gw27_opponent_team,gw28_opponent_team,gw29_opponent_team,gw30_opponent_team,gw31_opponent_team,gw32_opponent_team,gw33_opponent_team,gw34_opponent_team,gw35_opponent_team,gw36_opponent_team,gw37_opponent_team,gw38_opponent_team
Alexander Isak,15.0,FWD,2.0,13.0,11.0,5.0,4.0,17.0,6.0,19.0,8.0,20.0,1.0,3.0,7.0,14.0,9.0,18.0,10.0,12.0,16.0,11.0,13.0,2.0,12.0,16.0,3.0,1.0,20.0,7.0,,19.0,9.0,10.0,18.0,8.0,17.0,6.0,5.0,4.0
Alexandre Moreno Lopera,2.0,DEF,15.0,9.0,6.0,11.0,8.0,7.0,5.0,20.0,19.0,12.0,16.0,10.0,18.0,3.0,13.0,1.0,4.0,17.0,14.0,6.0,9.0,15.0,17.0,14.0,10.0,16.0,12.0,18.0,19.0,20.0,13.0,4.0,1.0,3.0,7.0,5.0,11.0,8.0
Alexis Mac Allister,11.0,MID,7.0,3.0,15.0,2.0,20.0,19.0,18.0,5.0,9.0,16.0,12.0,4.0,13.0,10.0,17.0,8.0,14.0,1.0,6.0,15.0,3.0,7.0,1.0,6.0,4.0,,16.0,13.0,,5.0,17.0,14.0,8.0,10.0,19.0,18.0,2.0,20.0
Alfie Dorrington,,,,,,,,,,,,,,20.0,2.0,13.0,19.0,15.0,16.0,9.0,5.0,3.0,14.0,4.0,9.0,5.0,20.0,,8.0,2.0,10.0,12.0,19.0,16.0,15.0,,1.0,11.0,6.0,17.0
Alfie Doughty,12.0,DEF,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0,8.0,4.0,1.0,13.0,,15.0,17.0,7.0,6.0,5.0,15.0,17.0,14.0,,2.0,8.0,16.0,18.0,1.0,3.0,13.0,4.0,20.0,9.0,19.0,10.0
Alfie Gilchrist,,,,,,,3.0,2.0,10.0,6.0,1.0,4.0,18.0,13.0,15.0,5.0,14.0,9.0,17.0,20.0,8.0,12.0,10.0,11.0,20.0,8.0,13.0,,4.0,15.0,,6.0,14.0,17.0,9.0,1.0,2.0,19.0,16.0,3.0
Alfie Whiteman,18.0,GK,4.0,14.0,3.0,6.0,17.0,1.0,11.0,12.0,10.0,8.0,7.0,20.0,2.0,13.0,19.0,15.0,16.0,9.0,5.0,3.0,14.0,4.0,9.0,5.0,20.0,,8.0,2.0,10.0,12.0,19.0,16.0,15.0,,1.0,11.0,6.0,17.0
Alisson Ramses Becker,11.0,GK,7.0,3.0,15.0,2.0,20.0,19.0,18.0,5.0,9.0,16.0,12.0,4.0,13.0,10.0,17.0,8.0,14.0,1.0,6.0,15.0,3.0,7.0,1.0,6.0,4.0,,16.0,13.0,,5.0,17.0,14.0,8.0,10.0,19.0,18.0,2.0,20.0
Allan Campbell,12.0,MID,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0,8.0,4.0,1.0,13.0,,15.0,17.0,7.0,6.0,5.0,15.0,17.0,14.0,,2.0,8.0,16.0,18.0,1.0,3.0,13.0,4.0,20.0,9.0,19.0,10.0
Allan Saint-Maximin,15.0,MID,2.0,13.0,11.0,5.0,4.0,17.0,6.0,19.0,8.0,20.0,1.0,3.0,7.0,14.0,9.0,18.0,10.0,12.0,16.0,11.0,13.0,2.0,12.0,16.0,3.0,1.0,20.0,7.0,,19.0,9.0,10.0,18.0,8.0,17.0,6.0,5.0,4.0
Alphonse Areola,19.0,GK,3.0,7.0,5.0,12.0,13.0,11.0,17.0,15.0,2.0,9.0,4.0,16.0,6.0,8.0,18.0,10.0,20.0,14.0,1.0,5.0,17.0,3.0,14.0,1.0,16.0,4.0,9.0,6.0,2.0,15.0,18.0,20.0,10.0,8.0,11.0,7.0,12.0,13.0
Altay Bayindir,,,,,,1.0,5.0,6.0,8.0,4.0,17.0,13.0,10.0,12.0,9.0,15.0,7.0,3.0,11.0,19.0,2.0,16.0,18.0,20.0,19.0,2.0,12.0,10.0,13.0,9.0,,4.0,7.0,11.0,3.0,17.0,6.0,8.0,1.0,5.0
Amad Diallo,14.0,MID,20.0,18.0,16.0,1.0,5.0,6.0,8.0,4.0,17.0,13.0,10.0,12.0,9.0,15.0,7.0,3.0,11.0,19.0,2.0,16.0,18.0,20.0,19.0,2.0,12.0,10.0,13.0,9.0,,4.0,7.0,11.0,3.0,17.0,6.0,8.0,1.0,5.0
Amadou Diallo,,,,,,,,,,,,,,3.0,7.0,14.0,9.0,18.0,10.0,12.0,16.0,11.0,13.0,2.0,12.0,16.0,3.0,1.0,20.0,7.0,,19.0,9.0,10.0,18.0,8.0,17.0,6.0,5.0,4.0
Amadou Onana,9.0,MID,10.0,2.0,20.0,17.0,1.0,4.0,12.0,3.0,11.0,19.0,5.0,8.0,14.0,16.0,15.0,7.0,6.0,18.0,13.0,20.0,2.0,10.0,18.0,13.0,8.0,5.0,19.0,14.0,,3.0,15.0,6.0,7.0,16.0,4.0,12.0,17.0,1.0
Amara Nallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,5.0,17.0,14.0,8.0,10.0,19.0,18.0,2.0,20.0
Amari'i Bell,12.0,DEF,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0,8.0,4.0,1.0,13.0,,15.0,17.0,7.0,6.0,5.0,15.0,17.0,14.0,,2.0,8.0,16.0,18.0,1.0,3.0,13.0,4.0,20.0,9.0,19.0,10.0
Ameen Al-Dakhil,6.0,DEF,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0,19.0,17.0,20.0,5.0,9.0,10.0,11.0,2.0,12.0,13.0,10.0,11.0,1.0,8.0,3.0,19.0,4.0,7.0,20.0,9.0,5.0,17.0,14.0,15.0,18.0,16.0
Anass Zaroury,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0,19.0,17.0,20.0,5.0,9.0,10.0,11.0,2.0,12.0,13.0,10.0,11.0,1.0,8.0,3.0,19.0,4.0,7.0,20.0,9.0,5.0,17.0,14.0,15.0,18.0,16.0
Andi Zeqiri,5.0,FWD,12.0,20.0,19.0,15.0,14.0,3.0,2.0,11.0,13.0,10.0,9.0,17.0,16.0,7.0,4.0,6.0,1.0,8.0,18.0,19.0,20.0,12.0,8.0,18.0,17.0,9.0,10.0,16.0,,11.0,4.0,1.0,6.0,13.0,3.0,2.0,15.0,14.0
Andre Brooks,17.0,MID,8.0,16.0,13.0,9.0,18.0,15.0,19.0,10.0,14.0,1.0,20.0,5.0,3.0,6.0,11.0,4.0,7.0,2.0,12.0,13.0,19.0,8.0,2.0,12.0,5.0,20.0,1.0,3.0,,10.0,11.0,7.0,4.0,6.0,15.0,16.0,9.0,18.0
Andreas Hoelgebaum Pereira,10.0,MID,9.0,4.0,1.0,13.0,12.0,8.0,7.0,17.0,18.0,5.0,14.0,2.0,20.0,11.0,16.0,19.0,15.0,6.0,3.0,1.0,7.0,9.0,6.0,3.0,2.0,14.0,5.0,20.0,18.0,17.0,16.0,15.0,19.0,11.0,8.0,4.0,13.0,12.0
Andrew Omobamidele,,,,,,,6.0,13.0,4.0,8.0,12.0,11.0,2.0,19.0,5.0,9.0,10.0,20.0,18.0,3.0,15.0,14.0,4.0,1.0,3.0,15.0,19.0,2.0,11.0,5.0,12.0,8.0,10.0,18.0,20.0,9.0,13.0,17.0,7.0,6.0
Andrew Robertson,11.0,DEF,7.0,3.0,15.0,2.0,20.0,19.0,18.0,5.0,9.0,16.0,12.0,4.0,13.0,10.0,17.0,8.0,14.0,1.0,6.0,15.0,3.0,7.0,1.0,6.0,4.0,,16.0,13.0,,5.0,17.0,14.0,8.0,10.0,19.0,18.0,2.0,20.0
Andrey Nascimento dos Santos,7.0,MID,11.0,19.0,12.0,7.0,6.0,13.0,4.0,8.0,12.0,11.0,2.0,19.0,5.0,9.0,10.0,20.0,18.0,3.0,15.0,14.0,10.0,11.0,20.0,8.0,13.0,,4.0,15.0,,6.0,14.0,17.0,9.0,1.0,2.0,19.0,16.0,3.0
Andros Townsend,,,,,,,,,,,16.0,2.0,11.0,14.0,8.0,4.0,1.0,13.0,,15.0,17.0,7.0,6.0,5.0,15.0,17.0,14.0,,2.0,8.0,16.0,18.0,1.0,3.0,13.0,4.0,20.0,9.0,19.0,10.0
AndrÃ© Onana,14.0,GK,20.0,18.0,16.0,1.0,5.0,6.0,8.0,4.0,17.0,13.0,10.0,12.0,9.0,15.0,7.0,3.0,11.0,19.0,2.0,16.0,18.0,20.0,19.0,2.0,12.0,10.0,13.0,9.0,,4.0,7.0,11.0,3.0,17.0,6.0,8.0,1.0,5.0
AndrÃ© Tavares Gomes,9.0,MID,10.0,2.0,20.0,17.0,1.0,4.0,12.0,3.0,11.0,19.0,5.0,8.0,14.0,16.0,15.0,7.0,6.0,18.0,13.0,20.0,2.0,10.0,18.0,13.0,8.0,5.0,19.0,14.0,,3.0,15.0,6.0,7.0,16.0,4.0,12.0,17.0,1.0
Andy Lonergan,9.0,GK,10.0,2.0,20.0,17.0,1.0,4.0,12.0,3.0,11.0,19.0,5.0,8.0,14.0,16.0,15.0,7.0,6.0,18.0,13.0,20.0,2.0,10.0,18.0,13.0,8.0,5.0,19.0,14.0,,3.0,15.0,6.0,7.0,16.0,4.0,12.0,17.0,1.0
Anel AhmedhodÅ¾iÄ,17.0,DEF,8.0,16.0,13.0,9.0,18.0,15.0,19.0,10.0,14.0,1.0,20.0,5.0,3.0,6.0,11.0,4.0,7.0,2.0,12.0,13.0,19.0,8.0,2.0,12.0,5.0,20.0,1.0,3.0,,10.0,11.0,7.0,4.0,6.0,15.0,16.0,9.0,18.0
Angelo Ogbonna,19.0,DEF,3.0,7.0,5.0,12.0,13.0,11.0,17.0,15.0,2.0,9.0,4.0,16.0,6.0,8.0,18.0,10.0,20.0,14.0,1.0,5.0,17.0,3.0,14.0,1.0,16.0,4.0,9.0,6.0,2.0,15.0,18.0,20.0,10.0,8.0,11.0,7.0,12.0,13.0
Anis Slimane,17.0,MID,8.0,16.0,13.0,9.0,18.0,15.0,19.0,10.0,14.0,1.0,20.0,5.0,3.0,6.0,11.0,4.0,7.0,2.0,12.0,13.0,19.0,8.0,2.0,12.0,5.0,20.0,1.0,3.0,,10.0,11.0,7.0,4.0,6.0,15.0,16.0,9.0,18.0
Anssumane Fati Vieira,,,,,,15.0,14.0,3.0,2.0,11.0,13.0,10.0,9.0,17.0,16.0,7.0,4.0,6.0,1.0,8.0,18.0,19.0,20.0,12.0,8.0,18.0,17.0,9.0,10.0,16.0,,11.0,4.0,1.0,6.0,13.0,3.0,2.0,15.0,14.0
Anthony Elanga,16.0,MID,1.0,17.0,14.0,7.0,6.0,13.0,4.0,8.0,12.0,11.0,2.0,19.0,5.0,9.0,10.0,20.0,18.0,3.0,15.0,14.0,4.0,1.0,3.0,15.0,19.0,2.0,11.0,5.0,12.0,8.0,10.0,18.0,20.0,9.0,13.0,17.0,7.0,6.0
Anthony Gordon,15.0,MID,2.0,13.0,11.0,5.0,4.0,17.0,6.0,19.0,8.0,20.0,1.0,3.0,7.0,14.0,9.0,18.0,10.0,12.0,16.0,11.0,13.0,2.0,12.0,16.0,3.0,1.0,20.0,7.0,,19.0,9.0,10.0,18.0,8.0,17.0,6.0,5.0,4.0
Anthony Knockaert,10.0,MID,9.0,4.0,1.0,13.0,12.0,8.0,7.0,17.0,18.0,5.0,14.0,2.0,20.0,11.0,16.0,19.0,15.0,6.0,3.0,1.0,7.0,9.0,6.0,3.0,2.0,14.0,5.0,20.0,18.0,17.0,16.0,15.0,19.0,11.0,8.0,4.0,13.0,12.0
Anthony Martial,14.0,FWD,20.0,18.0,16.0,1.0,5.0,6.0,8.0,4.0,17.0,13.0,10.0,12.0,9.0,15.0,7.0,3.0,11.0,19.0,2.0,16.0,18.0,20.0,19.0,2.0,12.0,10.0,13.0,9.0,,4.0,7.0,11.0,3.0,17.0,6.0,8.0,1.0,5.0
Antoine Semenyo,3.0,FWD,19.0,11.0,18.0,4.0,7.0,5.0,1.0,9.0,20.0,6.0,13.0,15.0,17.0,2.0,8.0,14.0,,16.0,10.0,18.0,11.0,19.0,16.0,10.0,15.0,13.0,6.0,17.0,,9.0,8.0,12.0,14.0,2.0,5.0,1.0,4.0,7.0
Antonee Robinson,10.0,DEF,9.0,4.0,1.0,13.0,12.0,8.0,7.0,17.0,18.0,5.0,14.0,2.0,20.0,11.0,16.0,19.0,15.0,6.0,3.0,1.0,7.0,9.0,6.0,3.0,2.0,14.0,5.0,20.0,18.0,17.0,16.0,15.0,19.0,11.0,8.0,4.0,13.0,12.0
Antony Matheus dos Santos,14.0,MID,20.0,18.0,16.0,1.0,5.0,6.0,8.0,4.0,17.0,13.0,10.0,12.0,9.0,15.0,7.0,3.0,11.0,19.0,2.0,16.0,18.0,20.0,19.0,2.0,12.0,10.0,13.0,9.0,,4.0,7.0,11.0,3.0,17.0,6.0,8.0,1.0,5.0
Antwoine Hackford,17.0,FWD,8.0,16.0,13.0,9.0,18.0,15.0,19.0,10.0,14.0,1.0,20.0,5.0,3.0,6.0,11.0,4.0,7.0,2.0,12.0,13.0,19.0,8.0,2.0,12.0,5.0,20.0,1.0,3.0,,10.0,11.0,7.0,4.0,6.0,15.0,16.0,9.0,18.0
Aribim Pepple,12.0,FWD,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0,8.0,4.0,1.0,13.0,,15.0,17.0,7.0,6.0,5.0,15.0,17.0,14.0,,2.0,8.0,16.0,18.0,1.0,3.0,13.0,4.0,20.0,9.0,19.0,10.0
Arijanet Muric,6.0,GK,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0,19.0,17.0,20.0,5.0,9.0,10.0,11.0,2.0,12.0,13.0,10.0,11.0,1.0,8.0,3.0,19.0,4.0,7.0,20.0,9.0,5.0,17.0,14.0,15.0,18.0,16.0
Armando Broja,7.0,FWD,11.0,19.0,12.0,16.0,3.0,2.0,10.0,6.0,1.0,4.0,18.0,13.0,15.0,5.0,14.0,9.0,17.0,20.0,8.0,12.0,10.0,11.0,6.0,3.0,2.0,14.0,5.0,20.0,18.0,17.0,16.0,15.0,19.0,11.0,8.0,4.0,13.0,12.0
Arnaut Danjuma Groeneveld,9.0,MID,10.0,2.0,20.0,17.0,1.0,4.0,12.0,3.0,11.0,19.0,5.0,8.0,14.0,16.0,15.0,7.0,6.0,18.0,13.0,20.0,2.0,10.0,18.0,13.0,8.0,5.0,19.0,14.0,,3.0,15.0,6.0,7.0,16.0,4.0,12.0,17.0,1.0
Ashley Phillips,,,,,,6.0,17.0,1.0,11.0,12.0,10.0,8.0,7.0,20.0,2.0,13.0,19.0,15.0,16.0,9.0,5.0,3.0,14.0,4.0,9.0,5.0,20.0,,8.0,2.0,10.0,12.0,19.0,16.0,15.0,,1.0,11.0,6.0,17.0
Ashley Young,9.0,DEF,10.0,2.0,20.0,17.0,1.0,4.0,12.0,3.0,11.0,19.0,5.0,8.0,14.0,16.0,15.0,7.0,6.0,18.0,13.0,20.0,2.0,10.0,18.0,13.0,8.0,5.0,19.0,14.0,,3.0,15.0,6.0,7.0,16.0,4.0,12.0,17.0,1.0
Auston Trusty,17.0,DEF,8.0,16.0,13.0,9.0,18.0,15.0,19.0,10.0,14.0,1.0,20.0,5.0,3.0,6.0,11.0,4.0,7.0,2.0,12.0,13.0,19.0,8.0,2.0,12.0,5.0,20.0,1.0,3.0,,10.0,11.0,7.0,4.0,6.0,15.0,16.0,9.0,18.0
Axel Disasi,7.0,DEF,11.0,19.0,12.0,16.0,3.0,2.0,10.0,6.0,1.0,4.0,18.0,13.0,15.0,5.0,14.0,9.0,17.0,20.0,8.0,12.0,10.0,11.0,20.0,8.0,13.0,,4.0,15.0,,6.0,14.0,17.0,9.0,1.0,2.0,19.0,16.0,3.0
Axel Piesold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,16.0,18.0,1.0,3.0,13.0,4.0,20.0,9.0,19.0,10.0
Aymeric Laporte,13.0,DEF,6.0,15.0,17.0,10.0,19.0,16.0,20.0,1.0,5.0,14.0,3.0,7.0,11.0,18.0,2.0,12.0,8.0,,9.0,17.0,15.0,6.0,4.0,9.0,7.0,3.0,14.0,11.0,,1.0,2.0,8.0,12.0,5.0,16.0,20.0,10.0,19.0
Bailey Peacock-Farrell,6.0,GK,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0,19.0,17.0,20.0,5.0,9.0,10.0,11.0,2.0,12.0,13.0,10.0,11.0,1.0,8.0,3.0,19.0,4.0,7.0,20.0,9.0,5.0,17.0,14.0,15.0,18.0,16.0
Bart Verbruggen,5.0,GK,12.0,20.0,19.0,15.0,14.0,3.0,2.0,11.0,13.0,10.0,9.0,17.0,16.0,7.0,4.0,6.0,1.0,8.0,18.0,19.0,20.0,12.0,8.0,18.0,17.0,9.0,10.0,16.0,,11.0,4.0,1.0,6.0,13.0,3.0,2.0,15.0,14.0
Bashir Humphreys,,,,19.0,12.0,16.0,3.0,2.0,10.0,6.0,1.0,4.0,18.0,13.0,15.0,5.0,14.0,9.0,17.0,20.0,8.0,12.0,10.0,11.0,20.0,8.0,13.0,,4.0,15.0,,6.0,14.0,17.0,9.0,1.0,2.0,19.0,16.0,3.0
