name,team,position,gw1_expected_goals_conceded,gw2_expected_goals_conceded,gw3_expected_goals_conceded,gw4_expected_goals_conceded,gw5_expected_goals_conceded,gw6_expected_goals_conceded,gw7_expected_goals_conceded,gw8_expected_goals_conceded,gw9_expected_goals_conceded,gw10_expected_goals_conceded,gw11_expected_goals_conceded,gw12_expected_goals_conceded,gw13_expected_goals_conceded,gw14_expected_goals_conceded,gw15_expected_goals_conceded,gw16_expected_goals_conceded,gw17_expected_goals_conceded,gw18_expected_goals_conceded,gw19_expected_goals_conceded,gw20_expected_goals_conceded,gw21_expected_goals_conceded,gw22_expected_goals_conceded,gw23_expected_goals_conceded,gw24_expected_goals_conceded,gw25_expected_goals_conceded,gw26_expected_goals_conceded,gw27_expected_goals_conceded,gw28_expected_goals_conceded,gw29_expected_goals_conceded,gw30_expected_goals_conceded,gw31_expected_goals_conceded,gw32_expected_goals_conceded,gw33_expected_goals_conceded,gw34_expected_goals_conceded,gw35_expected_goals_conceded,gw36_expected_goals_conceded,gw37_expected_goals_conceded,gw38_expected_goals_conceded
Aaron Cresswell,19.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.776,2.1036,1.6274,0.6746,0.8366,0.0,0.0,0.0,0.0,0.31,0.0,0.0,,0.0,0.68,2.82,1.14,2.0,1.09,1.19,0.0,0.0,1.39
Aaron Hickey,4.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.96,,1.21,1.0,1.35,4.45,0.8,0.66,1.91,0.16,0.75,2.08,0.22,1.22,0.57
Aaron Ramsdale,1.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.4928,1.0694,1.1451,1.0801,1.5397,0.3316,1.66,2.37,0.51,0.02,1.32,0.84,0.6,0.78,3.96,1.75,1.42,2.06,0.74,1.3,1.78,0.55,0.47
Aaron Wan-Bissaka,14.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7173,0.6749,0.3673,0.6487,2.9293,1.17,0.39,0.25,,0.0,1.14,,0.0,1.02,0.68,,1.54,0.0,1.29,0.39,1.19,0.0
Abdoulaye Doucour̩,8.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2088,0.2318,0.4835,0.3289,0.0,0.0,0.86,2.19,0.6,1.94,0.91,2.1,2.37,2.42,0.0,0.0,0.0,2.44,3.46,3.26,0.76,1.55,0.49
Adam Armstrong,17.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6693,0.0,0.7884,0.0917,0.6793,1.4183,0.08,0.0,1.04,0.09,0.76,0.03,0.0,0.0,0.0,0.0,1.88,1.0,1.67,0.12,0.05,0.0,2.38
Adam Forshaw,10.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.379,1.3258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.06,0.0,0.39,1.65,1.24,1.0,2.12
Adam Lallana,5.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9297,2.5047,0.8229,0.8949,0.0586,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Adam Smith,3.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8243,1.7392,1.4943,1.2403,0.0,1.7711,2.61,1.16,1.16,1.89,2.6,1.67,1.63,0.84,0.68,1.1,1.23,0.15,1.67,1.39,0.11,1.25,0.82
Adam Webster,5.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236,0.0,0.0,0.84,0.22,,0.38,1.54,,0.0,0.14,0.58,,0.0,0.7,1.19,0.0,0.0,2.3
Adama Traor̩ Diarra,20.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8082,0.7174,0.8537,1.5201,0.5481,0.7679,1.53,0.41,0.87,0.23,0.67,1.59,0.64,0.94,0.19,0.32,0.0,0.18,0.39,0.04,0.84,1.46,2.39
