name,team,position,gw1_minutes,gw2_minutes,gw3_minutes,gw4_minutes,gw5_minutes,gw6_minutes,gw7_minutes,gw8_minutes,gw9_minutes,gw10_minutes,gw11_minutes,gw12_minutes,gw13_minutes,gw14_minutes,gw15_minutes,gw16_minutes,gw17_minutes,gw18_minutes,gw19_minutes,gw20_minutes,gw21_minutes,gw22_minutes,gw23_minutes,gw24_minutes,gw25_minutes,gw26_minutes,gw27_minutes,gw28_minutes,gw29_minutes,gw30_minutes,gw31_minutes,gw32_minutes,gw33_minutes,gw34_minutes,gw35_minutes,gw36_minutes,gw37_minutes,gw38_minutes
Aaron Cresswell,19.0,DEF,90.0,90.0,90.0,90.0,71.0,0.0,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,22.0,90.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,,2.0,90.0,90.0,90.0,90.0,45.0,90.0,0.0,0.0,70
Aaron Hickey,4.0,DEF,83.0,79.0,59.0,90.0,78.0,90.0,,90.0,29.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,75.0,,90.0,73.0,90.0,90.0,73.0,73.0,90.0,1.0,90.0,87.0,84.0,88.0,69
Aaron Ramsdale,1.0,GK,90.0,90.0,90.0,90.0,90.0,90.0,,90.0,90.0,90.0,90.0,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90
Aaron Wan-Bissaka,14.0,DEF,0.0,0.0,4.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,68.0,90.0,90.0,86.0,17.0,21.0,,0.0,90.0,,0.0,90.0,90.0,,70.0,0.0,86.0,90.0,90.0,0
Abdoulaye DoucourÃ©,8.0,MID,90.0,34.0,0.0,0.0,0.0,0.0,,9.0,1.0,0.0,0.0,0.0,4.0,0.0,29.0,15.0,7.0,1.0,32.0,0.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,57.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,90.0,90
Adam Armstrong,17.0,FWD,45.0,29.0,69.0,76.0,85.0,82.0,,70.0,30.0,65.0,73.0,87.0,72.0,0.0,26.0,58.0,6.0,1.0,26.0,29.0,83.0,9.0,0.0,31.0,8.0,27.0,14.0,0.0,0.0,0.0,0.0,76.0,75.0,20.0,14.0,8.0,0.0,27
Adam Forshaw,10.0,MID,0.0,2.0,29.0,16.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,0.0,19.0,79.0,45.0,61.0,90
Adam Lallana,5.0,MID,75.0,64.0,62.0,0.0,0.0,0.0,,,14.0,8.0,22.0,63.0,45.0,64.0,64.0,4.0,66.0,60.0,12.0,65.0,29.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0
Adam Smith,3.0,DEF,90.0,90.0,90.0,45.0,90.0,90.0,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,62.0,0.0,90.0,90.0,78.0,90.0,58.0,90.0,79.0,78.0,90.0,90.0,41.0,60.0,12.0,90.0,90.0,30.0,65.0,82
Adam Webster,5.0,DEF,90.0,90.0,90.0,90.0,90.0,90.0,,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,75.0,72.0,,90.0,87.0,,0.0,21.0,86.0,,0.0,90.0,45.0,0.0,0.0,64
Adama TraorÃ© Diarra,20.0,MID,0.0,11.0,19.0,0.0,15.0,8.0,,0.0,66.0,71.0,84.0,57.0,90.0,82.0,22.0,90.0,30.0,45.0,45.0,17.0,45.0,48.0,45.0,76.0,30.0,45.0,45.0,33.0,64.0,16.0,17.0,0.0,11.0,7.0,6.0,15.0,87.0,90
AdriÃ¡n San Miguel del Castillo,12.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ainsley Maitland-Niles,1.0,MID,0.0,0.0,0.0,0.0,0.0,17.0,,0.0,66.0,0.0,74.0,87.0,0.0,45.0,90.0,31.0,36.0,89.0,0.0,5.0,0.0,0.0,90.0,90.0,90.0,90.0,0.0,56.0,19.0,90.0,90.0,0.0,54.0,20.0,90.0,81.0,0.0,0
Albert Sambi Lokonga,1.0,MID,1.0,0.0,2.0,0.0,90.0,73.0,,12.0,17.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,34.0,62.0,90.0,80.0,90.0,0.0,0.0,0.0,5.0,0.0,64.0,0.0,0.0,0.0,0.0,0
Alejandro Garnacho,14.0,MID,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,64.0,18.0,25.0,45.0,45.0,18.0,1.0,27.0,29.0,45.0,,32.0,17.0,,0.0,0.0,0.0,,0.0,0.0,0.0,8.0,18.0,66
Aleksandar MitroviÄ,9.0,FWD,90.0,90.0,90.0,90.0,90.0,90.0,,89.0,36.0,0.0,90.0,84.0,90.0,90.0,0.0,0.0,84.0,90.0,90.0,90.0,90.0,90.0,83.0,0.0,0.0,90.0,90.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,90.0,79
Alex Iwobi,8.0,MID,90.0,90.0,90.0,90.0,90.0,90.0,,90.0,90.0,90.0,90.0,72.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,69.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90
Alex McCarthy,17.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,90.0,90
Alex Mighten,16.0,MID,7.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alex Oxlade-Chamberlain,12.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,14.0,0.0,1.0,15.0,66.0,61.0,82.0,68.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alex Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Alex Smithies,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alex Telles,14.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0
Alexander Isak,,,,,,0.0,63.0,90.0,,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,0.0,90.0,63.0,,28.0,67.0,90.0,79.0,86.0,90.0,65.0,16.0,90.0,90.0,90.0,90.0,87
Alexandre Moreno Lopera,,,,,,,,,,,,,,,,,,,,,,80.0,90.0,45.0,30.0,77.0,29.0,69.0,63.0,90.0,88.0,90.0,90.0,65.0,76.0,74.0,84.0,90.0,11.0,0
Alexis Mac Allister,5.0,MID,90.0,90.0,90.0,90.0,90.0,90.0,,,90.0,90.0,90.0,90.0,86.0,90.0,90.0,90.0,0.0,0.0,28.0,82.0,90.0,0.0,90.0,90.0,,90.0,90.0,,90.0,90.0,90.0,,90.0,25.0,90.0,90.0,90.0,90
Alfie Devine,18.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alfie Gilchrist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Alisson Ramses Becker,12.0,GK,90.0,90.0,90.0,90.0,90.0,90.0,,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,0
Allan Marques Loureiro,8.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Allan Saint-Maximin,15.0,MID,89.0,74.0,90.0,90.0,0.0,0.0,,0.0,0.0,12.0,0.0,0.0,0.0,4.0,17.0,0.0,7.0,26.0,3.0,45.0,21.0,68.0,83.0,90.0,,28.0,67.0,45.0,67.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,22.0,68
Alphonse Areola,19.0,GK,61.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,90.0,90.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Amad Diallo,14.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0
